rank,ID,name,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
560,165838,space-hulk-fourth-edition,Action Point Allowance System|Dice Rolling|Grid Movement|Modular Board,"Space Hulk|Warhammer 40,000 Board Games",Fighting|Miniatures|Science Fiction,1044,8.06571,6.72977,3033,4|4|6,18|3|1,NA,NA,NA,0|0|0|0|0|2|1|4|3,6|1|0|0|0,0,2
561,38159,ultimate-werewolf-ultimate-edition,Partnerships|Role Playing|Voting,Werewolf / Mafia,Bluffing|Card Game|Deduction|Horror|Murder/Mystery|Negotiation|Party Game,3049,7.15477,6.72596,5231,0|0|26,0|0|26,0|0|26,0|0|25,NA,0|0|0|1|1|8|7|1|1,8|4|0|0|0,0,1
562,25568,metropolys,Area Control / Area Influence|Auction/Bidding,Ystari originals,City Building,3600,7.03855,6.72568,3518,0|0|48,30|46|16,23|59|5,57|28|4,0|0|38,0|0|0|0|2|10|8|1|0,38|0|0|0|0,0,2
563,151007,pathfinder-adventure-card-game-skull-shackles-base,Co-operative Play|Deck / Pool Building|Dice Rolling|Role Playing|Variable Player Powers,Campaign Games|Pathfinder Adventure Card Game|Solitaire Games,Card Game|Fantasy|Fighting|Pirates,1656,7.50421,6.72492,4618,1|14|4,8|12|0,15|4|0,16|6|1,2|3|13,0|0|0|0|0|1|5|3|0,0|0|2|9|1,0,2
564,66056,rivals-catan,Card Drafting|Dice Rolling|Hand Management,Catan|Die Fürsten von Catan / The Rivals for Catan|Kosmos two-player series,Card Game|City Building|Medieval|Territory Building,3783,7.08469,6.72477,7858,1|0|35,45|4|0,NA,NA,NA,0|0|0|0|0|2|10|5|1,0|0|13|4|3,0,2
565,23094,planet-steam,Auction/Bidding|Commodity Speculation|Trading,Mars|Steampunk,Economic|Science Fiction,2197,7.27317,6.72403,4170,1|0|15,2|18|13,9|21|4,32|10|0,NA,0|0|0|0|0|0|2|5|4,13|12|4|1|0,0,3
566,35497,fauna,Betting/Wagering,"",Animals|Educational|Trivia,3145,7.09734,6.72119,3432,0|1|28,1|33|8,12|31|1,35|10|0,NA,0|0|0|0|7|11|4|1|0,0|13|5|1|1,0,1
567,172047,others,Area Control / Area Influence|Dice Rolling|Modular Board|Variable Player Powers,Components: Miniatures|Crowdfunding: Kickstarter,Fantasy|Fighting|Horror,1532,7.69728,6.72046,3971,0|0|27,8|11|11,10|18|3,14|12|4,NA,0|0|0|0|0|0|0|2|3,0|0|0|4|0,0,3
568,41,cant-stop,Dice Rolling|Press Your Luck,"",Dice,9237,6.85571,6.71978,8566,0|2|84,41|86|6,94|47|1,43|64|23,1|5|80,0|0|0|2|22|16|0|0|0,45|0|0|0|0,0,1
569,5737,domaine,Area Enclosure|Hand Management|Modular Board,"",Medieval|Territory Building,3881,7.03655,6.71841,4460,0|0|35,5|27|18,18|31|5,38|10|4,0|0|27,0|0|0|0|1|0|1|7|1,17|0|0|0|0,0,2
570,57390,catacombs,Partnerships|Player Elimination|Role Playing|Variable Player Powers,Catacombs|Crowdfunding: Kickstarter|Finger Flicking Games,Action / Dexterity|Adventure|Fantasy|Fighting,2741,7.16641,6.71823,3458,0|5|42,34|28|1,20|39|0,1|43|14,NA,0|0|0|1|2|6|4|0|0,0|5|10|0|0,0,1
571,91514,rhino-hero,Hand Management,Animals: Rhinoceros|HABA Mitbringspiel Mini series,Action / Dexterity|Animals|Children's Game|Party Game,3591,7.0587,6.7181,6225,0|2|9,5|13|2,17|6|0,8|10|1,NA,0|2|11|3|3|1|0|0|0,12|0|0|0|0,0,1
572,72321,networks,Card Drafting,Crowdfunding: Kickstarter,Economic|Movies / TV / Radio theme,1771,7.41728,6.71773,3069,3|7|4,1|12|6,4|13|0,12|8|0,NA,0|0|0|0|0|0|6|3|0,0|0|3|0|0,0,2
573,150999,valley-kings,Deck / Pool Building|Hand Management|Set Collection,AEG: Pocket Game|Country: Egypt,Ancient|Card Game,2682,7.15812,6.71724,4826,1|4|16,27|11|3,11|20|7,3|24|8,0|1|18,0|0|0|0|0|1|3|7|0,0|0|10|3|0,0,2
574,177678,signorie,Dice Rolling|Set Collection|Worker Placement,Country: Italy,Dice|Renaissance,1382,7.56897,6.7163,1961,0|0|19,3|17|4,10|16|2,16|8|3,0|0|15,0|0|0|0|0|0|1|7|1,10|0|0|0|0,0,3
575,169654,deep-sea-adventure,Pick-up and Deliver|Press Your Luck|Roll / Spin and Move,Country: Japan,Dice|Exploration|Nautical|Party Game,2875,7.14296,6.71435,4133,0|0|23,0|10|18,5|27|1,26|11|0,NA,0|0|0|0|3|8|0|0|0,11|0|0|0|0,0,1
576,170416,vast-crystal-caverns,Action Point Allowance System|Modular Board|Press Your Luck|Tile Placement|Variable Player Powers,Animals: Unicorns|Crowdfunding: Kickstarter,Adventure,1613,7.5599,6.71415,4133,1|12|10,3|15|10,6|18|1,27|7|0,NA,0|0|0|0|1|2|4|5|0,0|0|1|5|0,0,3
577,177590,13-days-cuban-missile-crisis,Area Control / Area Influence|Campaign / Battle Card Driven|Hand Management,Crowdfunding: Kickstarter,Bluffing|Political,1202,7.7013,6.71282,2468,0|0|16,19|0|0,NA,NA,NA,0|0|0|0|0|1|4|3|0,0|0|3|2|0,0,2
578,17396,manoeuvre,Campaign / Battle Card Driven|Dice Rolling|Grid Movement|Hand Management|Modular Board|Variable Player Powers,"",Napoleonic|Wargame,2024,7.29853,6.71224,2736,0|2|21,37|6|0,NA,NA,NA,0|0|1|0|0|2|8|1|1,0|12|6|0|0,0,2
579,175117,celestia,Betting/Wagering|Press Your Luck,3D Games,Adventure|Aviation / Flight|Card Game,3073,7.12817,6.71217,4472,0|0|22,0|7|22,2|18|5,17|16|0,NA,0|0|0|2|12|4|0|0|0,9|0|0|0|0,0,1
580,142326,eight-minute-empire-legends,Area Control / Area Influence|Area Movement|Card Drafting|Modular Board|Set Collection|Variable Player Powers,Crowdfunding: Kickstarter|Eight-Minute Empire,Civilization|Exploration|Mythology|Territory Building,3025,7.10178,6.70964,5334,0|0|15,2|20|5,8|20|0,20|8|0,0|2|12,0|0|0|0|0|7|5|1|0,0|10|0|0|0,0,1
581,154458,akrotiri,Hand Management|Pick-up and Deliver|Tile Placement,Country: Greece|Games by the Game Artisans of Canada,Civilization|Exploration,1718,7.4007,6.70897,3198,0|0|7,15|1|0,NA,NA,NA,0|0|0|0|0|1|2|7|1,8|0|0|0|0,0,2
582,157403,black-fleet,Area Movement|Pick-up and Deliver|Variable Player Powers,"",Nautical|Pirates|Transportation,3079,7.11334,6.70865,5295,0|0|26,1|2|25,2|33|4,37|9|0,0|0|15,0|0|0|1|2|11|8|1|0,0|1|20|0|0,0,1
583,71671,yggdrasil,Action Point Allowance System|Co-operative Play|Dice Rolling|Set Collection|Variable Player Powers,Admin: Better Description Needed!|Solitaire Games|Vikings,Mythology,3117,7.08714,6.70388,3306,12|37|6,22|26|5,20|35|2,17|37|2,NA,0|0|0|0|1|1|10|6|1,33|0|1|0|0,0,2
584,37759,incan-gold,Press Your Luck|Simultaneous Action Selection,Archaeology|Country: Peru|Gryphon Games bookshelf series,Adventure|Bluffing|Exploration,7999,6.85619,6.70352,10203,0|1|58,0|7|59,3|37|33,18|52|7,NA,0|3|4|7|29|8|2|0|0,42|0|0|0|0,0,1
585,42910,peloponnes,Auction/Bidding|Tile Placement|Variable Player Powers,Admin: Better Description Needed!|Country: Greece|Solitaire Games,Ancient|City Building|Civilization,2308,7.1824,6.70233,2406,4|21|8,2|29|8,23|13|4,30|16|1,NA,0|0|0|0|0|3|11|4|0,21|2|0|0|0,0,2
