rank,ID,name,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
793,41916,magic-labyrinth,Dice Rolling|Grid Movement|Memory|Roll / Spin and Move|Route/Network Building,"",Children's Game|Fantasy|Maze|Memory,2927,6.9055,6.535,4691,0|3|12,8|16|0,13|10|1,18|4|1,0|0|16,0|7|15|4|2|2|1|0|0,17|0|0|0|0,0,1
794,204305,sherlock-holmes-consulting-detective-jack-ripper-w,Co-operative Play,Characters: Jack the Ripper|Characters: Sherlock Holmes|Cities: London|Country: England|Mystery Novels|Solitaire Games,Deduction|Murder/Mystery|Novel-based|Post-Napoleonic|Puzzle|Spies/Secret Agents,606,8.31531,6.53496,3058,2|8|0,11|0|0,3|4|1,2|3|1,NA,0|0|0|0|0|0|2|0|1,0|0|0|0|1,0,2
795,9220,saboteur,Hand Management|Partnerships|Route/Network Building|Take That,Mining|Saboteur,Bluffing|Card Game|Exploration|Party Game,16809,6.63523,6.53442,24278,0|1|142,0|0|143,3|25|138,8|67|105,NA,0|0|0|0|12|37|10|1|0,90|3|0|1|0,0,1
796,112138,krosmaster-arena,Action Point Allowance System|Card Drafting|Dice Rolling|Grid Movement|Variable Player Powers,Anime & Manga|Crowdfunding: Kickstarter|Krosmaster,Collectible Components|Fantasy|Fighting|Miniatures,2698,6.96827,6.53394,5683,0|3|17,36|1|0,0|5|16,4|24|1,0|1|16,0|0|0|1|3|1|5|9|2,0|4|12|1|0,0,2
797,1540,battletech,Dice Rolling|Role Playing|Variable Player Powers,BattleTech,Fighting|Miniatures|Science Fiction|Wargame,2869,6.96408,6.53391,3946,0|1|20,28|9|2,6|16|5,15|16|3,NA,0|0|0|0|0|0|3|12|1,0|3|9|1|0,0,3
798,2081,civil-war,Dice Rolling|Hex-and-Counter|Simulation,"",American Civil War|Civil War|Post-Napoleonic|Wargame,962,7.66954,6.5337,2277,0|11|5,18|4|0,NA,NA,NA,0|0|0|0|0|0|0|0|4,2|3|4|0|0,0,3
799,220,high-society,Auction/Bidding,Gryphon Games bookshelf series,Card Game,4364,6.76518,6.53351,4858,0|0|40,0|2|40,14|41|14,45|26|0,NA,0|0|0|0|0|6|10|1|0,20|1|0|0|0,0,1
800,85256,timeline-inventions,"",Timeline,Card Game|Educational|Trivia,5225,6.7451,6.53273,8577,0|1|32,5|25|14,13|26|4,24|16|1,NA,0|0|0|0|3|10|8|5|2,4|6|9|4|0,0,1
801,3800,himalaya,Action / Movement Programming|Area Control / Area Influence|Pick-up and Deliver|Set Collection|Simultaneous Action Selection,Admin: Better Description Needed!|Asian Theme|Tilsit Collection,Economic|Medieval|Political,1956,7.03288,6.53264,1877,0|0|23,0|3|23,4|15|21,41|5|0,9|2|15,0|0|0|0|0|2|3|2|0,17|0|0|0|0,0,2
802,139771,star-trek-attack-wing,Action / Movement Programming|Dice Rolling|Simultaneous Action Selection|Variable Player Powers,FlightPath|Star Trek|Star Trek: Attack Wing Miniatures Game,Aviation / Flight|Miniatures|Movies / TV / Radio theme|Science Fiction,1586,7.60545,6.53257,2886,1|7|31,65|9|4,19|36|6,14|41|9,NA,0|0|0|0|0|5|5|19|7,1|3|21|10|3,0,2
803,12761,ys,Area Control / Area Influence|Auction/Bidding|Commodity Speculation,Ystari originals,Bluffing|Medieval,2350,6.94449,6.53063,3208,0|0|24,3|19|19,9|31|2,42|6|1,3|4|15,0|0|0|0|0|0|0|5|1,14|1|0|0|0,0,2
804,61692,axis-allies-europe-1940,Area Control / Area Influence|Area Movement|Dice Rolling|Partnerships,Axis & Allies|Components: Miniatures,Economic|Fighting|Wargame|World War II,1262,7.53992,6.53036,2571,1|5|26,20|24|5,11|23|3,23|19|2,NA,0|0|0|0|0|0|1|9|14,1|13|2|0|0,0,3
805,19237,cah-n-gun,Player Elimination|Simultaneous Action Selection|Variable Player Powers,Ca$h 'n Gun$,Bluffing|Card Game|Fighting|Humor|Mafia|Negotiation|Party Game,8787,6.65745,6.52889,7927,0|0|77,0|0|79,0|3|78,4|73|26,NA,0|0|0|0|2|4|12|9|1,34|11|0|0|0,0,1
806,26457,successors-third-edition,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Pick-up and Deliver|Point to Point Movement,Country: Greece,Ancient|Wargame,1027,7.50736,6.52832,1417,0|1|20,0|11|14,3|20|8,36|3|1,0|0|14,1|0|0|0|0|0|0|3|3,0|0|2|12|2,0,3
807,163154,falling-sky-gallic-revolt-against-caesar,Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Variable Phase Order|Variable Player Powers,Ancient Rome|GMT COIN Series|Solitaire Games|Solitaire Wargames,Ancient|Wargame,644,8.1154,6.5276,2061,4|14|3,1|16|5,0|13|5,24|2|0,0|0|15,0|0|0|0|0|0|0|4|6,0|0|0|3|0,0,3
808,481,carolus-magnus,Area Control / Area Influence|Dice Rolling|Hand Management|Modular Board|Partnerships,"",Medieval,3082,6.85412,6.52716,3560,0|0|45,33|48|5,53|26|5,16|36|18,0|0|40,0|0|0|1|0|0|5|3|1,22|0|0|0|0,0,2
809,681,quarto,Pattern Building,Combinatorial|Gigamic Basic|Gigamic Classic|Mensa Select|Promotional Board Games,Abstract Strategy,3875,6.8206,6.5269,5692,0|0|30,37|1|0,NA,NA,NA,0|0|0|2|3|10|3|1|0,20|0|0|0|0,0,2
810,143986,cv,Card Drafting|Dice Rolling|Hand Management|Press Your Luck|Set Collection|Simulation,"",Card Game|Dice|Humor,3837,6.79763,6.52528,5204,0|0|25,40|16|3,18|36|3,8|21|27,1|0|23,0|0|0|0|1|5|7|0|0,0|15|2|0|0,0,1
811,139030,mascarade,Memory|Variable Player Powers,"",Bluffing|Medieval|Party Game,6245,6.71371,6.52507,9509,0|0|57,4|2|58,6|7|54,5|30|34,NA,0|0|0|0|3|10|10|3|1,29|9|1|0|0,0,1
812,21550,blokus-trigon,Area Enclosure|Hand Management|Tile Placement,Blokus Series|Solitaire Games,Abstract Strategy|Territory Building,2465,6.9412,6.52368,2928,0|3|24,6|28|5,28|17|0,25|19|2,0|0|22,0|0|1|3|9|3|0|0|0,14|0|0|0|0,0,1
813,195137,catacombs-third-edition,Partnerships|Player Elimination|Role Playing|Variable Player Powers,Catacombs|Crowdfunding: Kickstarter|Finger Flicking Games,Action / Dexterity|Adventure|Fantasy|Fighting,794,7.79203,6.5236,1805,0|0|7,3|4|0,1|7|0,0|4|4,NA,0|0|0|0|0|1|0|0|0,0|1|0|0|0,0,2
814,73369,51st-state,Card Drafting|Hand Management|Variable Player Powers,From RPG books to board games|Neuroshima|Tableau Building,Card Game|City Building|Economic|Science Fiction,2492,6.9278,6.52343,3313,3|15|19,36|19|1,32|20|2,11|23|16,0|2|28,0|0|0|0|0|0|3|10|2,26|6|1|0|0,0,3
815,160610,thunderbirds,Co-operative Play|Pick-up and Deliver|Storytelling,Celebrities: Gerry Anderson|Crowdfunding: Kickstarter|TV Series: Thunderbirds,Movies / TV / Radio theme,977,7.72199,6.5224,2071,2|8|0,2|8|1,10|5|0,4|6|1,1|0|2,0|0|0|0|1|3|3|0|0,0|1|6|0|0,0,2
816,176165,dale-merchants,Card Drafting|Deck / Pool Building|Dice Rolling|Hand Management|Set Collection|Take That,Crowdfunding: Kickstarter,Animals|Card Game|Fantasy,1248,7.35457,6.52136,2107,0|0|12,20|2|0,9|13|0,5|9|5,0|1|11,0|0|0|0|0|3|4|0|0,0|1|9|1|0,0,2
817,179172,unfair,Card Drafting|Hand Management|Set Collection|Take That|Variable Player Powers,Crowdfunding: Kickstarter|Tableau Building,Card Game|City Building|Economic|Print & Play,1121,7.69427,6.52023,2539,0|0|14,4|19|2,8|14|0,17|7|1,NA,0|0|0|0|0|1|4|1|0,0|0|3|1|0,0,2
818,148943,coup-rebellion-g54,Player Elimination|Take That|Variable Player Powers,Country: Guatemala|Crowdfunding: Kickstarter|Dystopian Universe,Bluffing|Card Game|Deduction|Negotiation|Political,1494,7.20372,6.52018,4258,0|0|16,0|1|14,1|10|6,7|12|0,NA,0|0|0|0|0|0|1|5|2,0|5|5|0|0,0,1
819,38343,ad-astra,Action / Movement Programming|Simultaneous Action Selection|Trading|Variable Phase Order,"",Civilization|Science Fiction|Space Exploration,2595,6.89649,6.52013,2629,0|0|25,0|3|21,9|27|2,28|14|1,NA,0|0|0|0|0|0|6|8|0,5|16|3|0|0,0,2
820,3284,star-wars-epic-duels,Campaign / Battle Card Driven|Player Elimination|Roll / Spin and Move|Variable Player Powers,Components: Miniatures|Star Wars,Fighting|Miniatures|Movies / TV / Radio theme|Science Fiction,2703,6.97693,6.51962,3501,0|1|26,21|20|0,2|12|19,19|20|0,NA,0|0|0|0|7|6|3|0|0,1|2|7|3|2,0,1
821,1115,poker,Betting/Wagering|Player Elimination|Set Collection,Games for Dummies|Poker|Promotional Board Games|Traditional Card Games,Bluffing|Card Game,7034,6.70312,6.51951,5726,0|1|64,5|24|49,6|41|32,26|48|10,NA,0|0|0|0|0|2|5|8|10,34|1|0|0|0,0,2
822,142961,thunderstone-advance-numenera,Card Drafting|Deck / Pool Building|Hand Management,Thunderstone|Thunderstone Advance,Card Game|Fantasy|Science Fiction,1030,7.47993,6.51796,2543,1|6|5,9|6|0,10|5|0,2|9|3,NA,0|0|0|0|0|0|2|2|0,0|0|1|5|0,0,2
823,113873,hunters-german-u-boats-war-1939-43,Dice Rolling|Simulation,Campaign Games|Solitaire Games|Solitaire Wargames|Underwater War,Wargame|World War II,888,7.71995,6.51742,2128,32|3|0,1|4|15,NA,NA,NA,0|0|0|0|0|1|2|9|2,0|2|6|3|0,0,2
824,179572,dice-city,Dice Rolling|Take That|Worker Placement,"",City Building|Dice|Medieval,2525,6.91313,6.51677,4376,0|14|7,21|12|0,15|11|2,1|9|17,0|0|18,0|0|0|0|0|6|2|0|1,0|8|2|0|0,0,2
825,146221,forge-war,Grid Movement|Role Playing|Variable Phase Order|Worker Placement,Crowdfunding: Kickstarter|Solitaire Games,Adventure|Economic|Fantasy|Industry / Manufacturing|Medieval,1105,7.46625,6.51602,2221,1|8|5,6|16|1,15|7|0,6|15|2,0|0|11,0|0|0|0|0|0|0|4|3,0|5|1|0|0,0,3
826,88827,battle-cry-150th-civil-war-anniversary-edition,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Modular Board,Commands & Colors,American Civil War|Civil War|Wargame,915,7.64965,6.51573,1790,0|6|9,34|3|0,NA,NA,NA,0|0|0|0|0|4|8|6|0,0|9|1|0|1,0,2
827,192135,too-many-bones,Co-operative Play|Deck / Pool Building|Dice Rolling|Hand Management|Role Playing,Crowdfunding: Kickstarter,Adventure|Dice|Fantasy|Wargame,548,8.8515,6.51484,1054,4|16|1,7|13|0,15|5|0,5|8|1,0|0|15,0|0|0|0|0|0|3|3|1,0|0|4|1|0,0,3
828,83195,ghost-blitz,Pattern Recognition,Geistesblitz|Ghosts,Action / Dexterity|Card Game|Children's Game|Real-time,3973,6.77655,6.51416,5537,0|1|23,2|19|11,6|17|5,19|15|0,NA,0|1|5|12|3|3|2|0|0,19|0|0|0|0,0,1
829,129459,duel-ages-ii,Grid Movement|Hex-and-Counter|Modular Board|Partnerships|Variable Player Powers,Duel of Ages,Adventure|Fantasy|Fighting|Science Fiction|Wargame,996,7.5748,6.51401,2032,1|3|20,26|12|0,1|19|9,20|13|1,NA,0|0|0|0|0|0|2|5|2,0|0|1|8|1,0,3
830,142079,space-cadets-dice-duel,Action / Movement Programming|Dice Rolling|Grid Movement|Partnerships,Space Cadets,Dice|Fighting|Party Game|Real-time|Science Fiction|Space Exploration,2459,6.92056,6.51381,4128,0|0|33,0|0|34,0|0|34,3|24|14,NA,0|0|0|0|0|1|3|3|0,8|1|0|0|0,0,2
831,177802,smash-its-your-fault,Area Control / Area Influence|Hand Management|Take That|Variable Phase Order|Worker Placement,Smash Up,Card Game|Fantasy|Horror|Humor|Medieval|Mythology|Science Fiction|Spies/Secret Agents|Zombies,849,7.76953,6.5136,3495,0|0|0,0|0|0,NA,NA,NA,0|0|0|0|0|0|0|0|0,0|0|2|0|0,0,2
832,1499,world-flames,Area Movement|Dice Rolling|Hex-and-Counter,World in Flames,Wargame|World War II,1170,7.49887,6.51289,2191,1|4|16,4|10|14,2|17|7,9|24|2,NA,0|0|0|0|0|0|0|0|4,3|6|6|0|3,0,4
833,730,breakout-normandy,Area-Impulse,Avalon Hill area-impulse series,Wargame|World War II,880,7.67157,6.51281,1961,1|7|3,14|2|0,NA,NA,NA,0|0|0|0|0|0|1|1|2,2|2|0|0|0,0,3
834,184424,mega-civilization,Area Movement|Set Collection|Trading,Civilization,Ancient|Civilization|Economic|Negotiation,573,8.36061,6.51242,960,0|0|20,0|1|19,0|1|19,1|3|18,NA,0|0|0|0|0|0|0|6|7,0|1|13|2|0,0,3
835,181796,prodigals-club,Action Point Allowance System|Hand Management|Worker Placement,Country: England,Card Game|Economic,986,7.47129,6.51191,2255,0|0|5,4|6|6,5|12|0,9|6|0,NA,0|0|0|0|0|0|0|2|0,3|0|0|0|0,0,3
836,5716,balloon-cup,Hand Management|Set Collection,Balloons|Kosmos two-player series,Aviation / Flight|Card Game,5134,6.70952,6.51015,5307,0|0|47,57|6|1,NA,NA,NA,0|0|0|0|0|11|10|2|0,41|0|0|0|0,0,1
837,134253,hostage-negotiator,Card Drafting|Dice Rolling|Hand Management,Crowdfunding: Kickstarter|Solitaire Games,Card Game|Dice,1538,7.17689,6.50994,3227,31|1|0,NA,NA,NA,NA,0|0|0|0|0|0|1|2|9,0|7|7|0|0,0,1
838,167270,medina-second-edition,Area Control / Area Influence|Press Your Luck|Tile Placement,Country: Saudi Arabia|Desert Theme,Abstract Strategy|City Building,1124,7.37351,6.50919,1859,0|0|12,3|12|2,4|10|0,12|4|1,0|0|9,0|0|0|0|0|3|2|0|0,5|0|0|0|0,0,2
839,41933,arctic-scavengers,Card Drafting|Deck / Pool Building|Hand Management,Arctic Scavengers|Arctic Theme,Bluffing|Card Game|Fighting,2239,6.96051,6.50864,2866,0|2|24,3|15|19,18|21|2,26|12|2,NA,0|0|0|0|0|2|6|3|0,0|9|2|0|0,0,2
840,147253,ancient-world,Card Drafting|Dice Rolling|Set Collection|Worker Placement,The Ancient World|Crowdfunding: Kickstarter,Ancient|Civilization|Fantasy,1384,7.22704,6.50796,2298,0|1|10,2|9|6,6|8|0,10|7|0,0|0|10,0|0|0|0|0|1|2|2|0,1|6|1|0|0,0,2
841,134453,little-prince-make-me-planet,Card Drafting|Set Collection,The Little Prince,Novel-based|Territory Building,2387,6.93304,6.50793,2938,0|1|23,18|20|2,8|33|1,25|16|3,NA,0|0|0|1|8|12|2|0|0,23|2|0|0|0,0,1
842,57925,havana,Hand Management|Memory|Set Collection|Simultaneous Action Selection,Country: Cuba|Eggertspiele Cuba series,Bluffing|Card Game,2526,6.89006,6.50768,3146,0|0|20,6|29|3,26|9|0,8|19|5,0|0|14,0|0|0|0|0|4|7|1|0,1|14|5|0|0,0,2
843,19622,victory-lost,Chit-Pull System|Dice Rolling|Hex-and-Counter,Country: Russia|International Games Series|A Victory Lost Series,Wargame|World War II,877,7.65789,6.50387,1715,2|25|2,28|3|1,NA,NA,NA,0|0|0|0|0|0|0|1|5,7|1|1|0|1,0,2
844,2842,transamerica,Route/Network Building,Country: USA|Immortal Eyes Games Collection|Mensa Select|Transamerica,Trains|Transportation,6793,6.66525,6.50317,6306,0|0|61,3|38|52,10|65|20,46|42|5,NA,0|0|0|0|13|19|2|2|0,38|2|0|0|0,0,1
845,165986,royals,Area Control / Area Influence|Card Drafting|Set Collection,Dice Tower Essentials,"",1283,7.2732,6.50254,1809,0|0|13,1|11|8,6|15|1,14|10|1,NA,0|0|0|0|0|3|1|0|0,9|0|0|0|0,0,2
846,701,house-divided,Dice Rolling|Point to Point Movement,"",American Civil War|Wargame,1704,7.10528,6.50213,3403,2|6|12,26|1|0,NA,NA,NA,0|0|0|0|0|0|4|2|5,10|2|1|1|0,0,2
847,152765,thunderstone-advance-worlds-collide,Card Drafting|Deck / Pool Building|Hand Management,Solitaire Games|Thunderstone|Thunderstone Advance,Card Game|Fantasy,683,7.92744,6.50174,1695,2|5|2,3|6|0,5|4|0,4|2|2,NA,0|0|0|0|0|0|0|3|0,0|0|2|4|0,0,2
848,22,magic-realm,Action / Movement Programming|Modular Board|Rock-Paper-Scissors|Role Playing|Simultaneous Action Selection|Variable Player Powers,Solitaire Games,Adventure|Exploration|Fantasy,1719,7.14475,6.50104,3223,7|23|3,8|25|1,21|17|0,21|17|1,NA,0|0|0|0|1|0|0|5|4,0|2|5|3|2,0,4
849,37387,steel-driver,Auction/Bidding|Route/Network Building|Stock Holding,Country: USA|Treefrog Line,Trains|Transportation,1769,7.0275,6.49942,2048,0|0|16,0|0|19,2|17|7,26|9|1,NA,0|0|0|0|0|0|1|1|0,11|1|0|0|0,0,2
850,1403,turn-tide,Hand Management|Simultaneous Action Selection,"",Card Game,3171,6.80935,6.49913,4375,0|0|34,0|0|34,8|29|18,34|20|1,NA,0|0|0|0|1|4|13|1|1,27|1|0|0|0,0,1
851,1915,middle-earth,Area Movement|Dice Rolling|Hand Management|Variable Player Powers,CCGs (Collectible Card Games)|Solitaire Games|Tolkien Games,Adventure|Card Game|Collectible Components|Exploration|Fantasy|Fighting|Novel-based,1568,7.20825,6.49905,2485,3|19|12,46|2|0,4|21|6,2|9|15,NA,0|0|0|0|0|0|2|9|4,0|0|2|13|15,0,3
852,115,im-boss,Dice Rolling|Hand Management|Roll / Spin and Move|Set Collection|Take That,Admin: Better Description Needed!|Gryphon Family Games series,Negotiation,3085,6.82776,6.49744,3381,0|0|35,0|0|37,2|13|30,9|32|12,NA,0|0|0|0|0|2|7|3|1,12|0|0|0|0,0,1
853,103185,walnut-grove,Tile Placement|Worker Placement,Solitaire Games|Tableau Building,American West|Farming,1814,7.01666,6.49688,1983,3|16|2,7|15|3,11|9|2,16|9|1,1|0|9,0|0|0|0|2|1|3|2|0,15|0|0|0|0,0,2
854,6351,gulo-gulo,Modular Board,"",Action / Dexterity|Animals|Children's Game|Humor,2589,6.87431,6.49643,2750,0|2|25,4|21|9,17|15|2,28|7|0,NA,8|24|12|1|1|0|0|0|0,18|0|0|0|0,0,1
855,146418,warhammer-diskwars,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Player Elimination|Rock-Paper-Scissors|Variable Player Powers,Warhammer Fantasy Board Games,Dice|Fantasy|Wargame,1438,7.29591,6.49561,3221,0|5|14,30|5|0,2|18|5,5|22|0,0|1|10,0|0|0|0|0|1|4|10|7,0|2|10|14|0,0,2
856,38765,ground-floor,Worker Placement,Crowdfunding: Kickstarter|Games by Gamesmiths|TMG Originals,City Building|Economic|Industry / Manufacturing,1421,7.15053,6.49404,2174,0|2|24,1|21|18,9|36|1,30|18|0,NA,0|0|0|0|0|0|3|4|7,2|16|2|3|0,0,3
857,94104,omen-reign-war,Area Control / Area Influence|Card Drafting|Hand Management|Variable Player Powers,Admin: Better Description Needed!|Country: Greece|Crowdfunding: Kickstarter,Ancient|Card Game|Fantasy|Mythology,1038,7.40578,6.49252,2206,0|0|12,16|2|0,NA,NA,NA,0|0|0|0|0|0|1|4|1,0|1|7|1|0,0,2
858,103092,helvetia,Action Point Allowance System|Area Control / Area Influence|Worker Placement,Country: Switzerland,City Building,1680,7.03821,6.49122,1854,0|0|13,0|16|8,9|18|0,25|6|1,0|0|13,0|0|0|0|0|1|2|8|0,25|0|0|0|0,0,3
859,37907,diamonds-club,Set Collection|Worker Placement,"",Economic|Industry / Manufacturing,1574,7.08613,6.49101,1346,0|0|14,2|29|2,9|23|2,26|7|1,0|0|12,0|0|0|0|0|0|8|1|0,18|2|0|0|0,0,2
860,254,empires-arms,Area Movement|Dice Rolling|Secret Unit Deployment|Simulation|Variable Player Powers,"",Economic|Napoleonic|Negotiation|Political|Wargame,1073,7.53123,6.49088,1790,0|1|25,0|4|21,0|5|18,0|7|18,NA,0|0|0|0|0|0|0|0|3,0|1|2|7|4,0,4
861,113401,timeline-historical-events,"",Timeline,Card Game|Educational|Trivia,2881,6.8359,6.48937,5253,0|1|4,2|5|1,3|5|0,6|3|0,NA,0|0|0|0|0|3|0|3|0,1|2|0|0|0,0,1
862,42487,lost-cities-board-game,Hand Management|Set Collection,Lost Cities,Adventure|Exploration,2815,6.83287,6.48928,3846,0|1|11,3|14|3,13|8|0,12|8|1,0|0|9,0|0|0|0|4|2|2|0|0,8|0|0|0|0,0,1
863,24827,traders-osaka,Commodity Speculation|Hand Management|Set Collection,"",Ancient|Card Game|Economic,2380,6.88055,6.4889,3100,1|0|28,44|16|2,21|30|4,6|23|21,0|1|25,0|0|0|0|0|3|5|4|0,14|0|0|0|0,0,2
864,2122,vampire-eternal-struggle,Hand Management|Voting,CCGs (Collectible Card Games)|From RPG books to board games|Vampires,Card Game|Collectible Components|Fighting|Horror|Political,1966,7.08178,6.48881,2481,0|0|45,0|9|41,3|17|25,18|37|3,NA,0|0|0|0|0|0|0|12|6,0|1|0|20|2,0,3
865,7805,fearsome-floors,Grid Movement|Modular Board,Monsters,Horror|Racing,6238,6.65731,6.48822,6273,0|0|56,11|36|36,19|60|9,43|47|2,NA,0|0|0|0|3|21|13|0|0,49|1|0|0|0,0,1
866,71836,onirim,Co-operative Play|Hand Management|Set Collection,Oniverse|Solitaire Games,Card Game|Exploration|Fantasy|Maze,4069,6.73981,6.48821,6871,71|22|3,23|48|5,NA,NA,NA,0|0|0|0|1|17|7|2|1,50|1|0|0|0,0,1
867,394,kahuna,Area Control / Area Influence|Card Drafting|Hand Management|Route/Network Building|Take That,Kosmos two-player series|Tropical theme,Abstract Strategy,6139,6.66318,6.48781,8530,0|0|30,39|1|0,NA,NA,NA,0|0|0|0|0|5|9|2|0,24|0|0|0|0,0,2
868,90040,pergamon,Set Collection,Archaeology|Country: Greece|Country: Turkey,Ancient,2003,6.95378,6.48748,2227,0|0|20,11|36|5,35|26|0,19|24|8,0|0|19,0|0|0|0|1|2|10|2|0,24|0|0|0|0,0,2
869,24773,underground,Route/Network Building,Cities: London,Trains|Transportation,2156,6.91668,6.48745,1914,0|1|29,21|27|4,45|15|1,11|25|17,NA,0|0|0|0|0|3|6|0|0,17|2|0|0|0,0,2
870,21920,leonardo-da-vinci,Area Control / Area Influence|Hand Management|Worker Placement,Cities: Florence|Leonardo da Vinci|Quined Master Print Edition Series,Renaissance,3230,6.79601,6.48626,4357,0|1|26,0|20|21,5|38|2,34|15|0,NA,0|0|0|0|0|0|2|7|1,21|0|0|0|0,0,3
871,157096,historia,Area Control / Area Influence|Hand Management|Simultaneous Action Selection,Crowdfunding: Giochistarter|Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede,Civilization,1749,7.04663,6.48596,2432,5|10|7,2|6|13,6|13|3,11|16|1,NA,0|0|0|0|0|0|1|4|2,12|0|0|0|0,0,3
872,594,sleuth,Card Drafting|Hand Management|Memory,3M Gamettes|Gryphon Games bookshelf series|Sid Sackson Signature Series,Card Game|Deduction,2236,6.89984,6.48537,3980,0|0|21,0|0|20,5|11|13,20|11|1,NA,0|0|0|0|0|0|1|6|0,6|3|0|0|0,0,2
873,38863,hab-gut,Hand Management|Stock Holding,Colonial Theme,Economic,1594,7.0747,6.48422,1413,0|0|22,1|3|23,7|24|7,39|14|0,NA,0|0|0|0|0|3|8|3|0,25|0|0|0|0,0,2
874,242,junta,Area Movement|Dice Rolling|Hand Management|Simultaneous Action Selection|Trading|Variable Player Powers|Voting,Junta,Bluffing|Humor|Mafia|Negotiation|Political|Wargame,4499,6.75812,6.48368,6882,0|0|64,0|1|72,0|3|68,4|18|47,NA,0|0|0|0|0|0|1|6|12,0|0|4|15|1,0,2
875,165872,liberty-or-death-american-insurrection,Area Control / Area Influence|Variable Phase Order|Variable Player Powers,GMT COIN Series,American Revolutionary War|Political|Wargame,636,8.08086,6.4836,2180,2|10|3,3|12|1,1|10|3,20|2|1,0|0|8,0|0|0|0|0|0|0|4|6,0|0|0|9|0,0,4
876,193949,star-trek-ascendancy,Action Point Allowance System|Dice Rolling|Modular Board|Trading|Variable Phase Order|Variable Player Powers,Star Trek|4X games,Civilization|Exploration|Movies / TV / Radio theme|Negotiation|Science Fiction|Space Exploration|Territory Building|Wargame,846,7.80196,6.48318,2192,0|0|14,0|0|13,11|2|1,NA,NA,0|0|0|0|0|0|3|1|2,0|0|2|0|0,0,2
877,168,empire-builder,Action / Movement Programming|Area Enclosure|Crayon Rail System|Pick-up and Deliver|Route/Network Building,Country: USA|Empire Builder Rail Games,Economic|Trains|Transportation,2502,6.92053,6.48308,3593,1|1|21,13|21|8,21|17|2,11|21|8,NA,0|0|0|0|0|1|6|4|1,0|7|1|0|0,0,2
878,191300,archaeology-new-expedition,Card Drafting|Press Your Luck|Set Collection,Archaeology|Country: Egypt|Rummy Games,Card Game,1195,7.29307,6.48114,2147,0|0|14,9|9|2,8|11|0,7|13|0,NA,0|0|0|0|2|1|3|0|0,0|1|0|0|0,0,1
879,142852,dc-comics-deck-building-game-heroes-unite,Deck / Pool Building,Cerberus Engine: Heroes|Comics: DC Universe|Superheroes,Card Game|Comic Book / Strip,1179,7.37662,6.4811,2556,0|1|10,6|3|4,7|8|1,4|8|2,NA,0|0|0|0|1|4|1|1|1,1|1|3|2|0,0,2
880,5206,ogre,Dice Rolling|Hex-and-Counter|Variable Player Powers,Crowdfunding: Kickstarter|Metagaming Microgames series|Ogre/GEV Family|Video Tape Box Games,Fighting|Science Fiction|Wargame,2272,6.9696,6.48006,6547,1|9|8,23|1|0,1|12|4,NA,NA,0|0|0|0|0|0|6|1|0,0|11|0|0|0,0,2
881,144529,theseus-dark-orbit,Partnerships|Point to Point Movement|Variable Player Powers,"",Fighting|Science Fiction,1353,7.21547,6.47971,2372,0|0|27,51|6|1,2|19|21,1|14|27,0|0|26,0|0|0|0|0|0|6|5|2,0|0|11|1|1,0,2
882,173090,game-2015,Co-operative Play|Hand Management,Solitaire Games,Card Game|Number,3669,6.7537,6.47963,5438,11|13|17,8|27|5,23|14|1,13|22|2,NA,0|0|0|0|4|12|0|0|0,23|0|0|0|0,0,1
883,131366,eight-minute-empire,Area Control / Area Influence|Area Movement|Card Drafting|Set Collection,Crowdfunding: Kickstarter|Eight-Minute Empire,Territory Building,5213,6.66076,6.4748,6356,0|1|30,5|35|11,29|24|0,26|24|0,NA,0|0|0|1|1|14|2|3|0,27|0|0|0|0,0,1
884,141423,dead-men-tell-no-tales,Action Point Allowance System|Co-operative Play|Dice Rolling|Grid Movement|Modular Board|Pick-up and Deliver|Variable Player Powers,Crowdfunding: Kickstarter,Exploration|Fantasy|Fighting|Nautical|Pirates,1370,7.25329,6.47478,3017,3|10|7,5|13|4,15|5|0,9|12|0,NA,0|0|0|0|0|4|4|0|0,0|4|1|0|0,0,2
885,87890,pret-porter,Card Drafting|Set Collection|Worker Placement,"",Economic|Industry / Manufacturing,1202,7.26111,6.4723,1500,0|0|16,7|23|2,19|14|3,22|13|1,0|0|11,0|0|0|0|0|0|2|3|10,8|7|3|3|2,0,3
886,70,big-city,Hand Management|Modular Board|Tile Placement,Admin: Better Description Needed!|Polyominoes,City Building,2169,6.90306,6.47186,2259,0|0|25,16|18|8,32|14|1,8|23|10,NA,0|0|0|0|1|1|8|2|0,15|0|0|0|0,0,2
