rank,ID,name,mechanics,families,categories,n.ratings,rating
67,9609,war-ring-first-edition,Action Point Allowance System|Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Tolkien Games|War of the Ring,Adventure|Dice|Fantasy|Novel-based|Territory Building|Wargame,8960,7.81273
68,128882,resistance-avalon,Memory|Partnerships|Simultaneous Action Selection|Variable Player Powers|Voting,Crowdfunding: Kickstarter|The Legend of King Arthur and the Knights of the Round Table|Postcard Box Games|Werewolf / Mafia,Bluffing|Card Game|Deduction|Fantasy|Medieval|Negotiation|Party Game,16389,7.71538
69,155068,arcadia-quest,Dice Rolling|Grid Movement|Modular Board|Variable Player Powers,Anime & Manga|Arcadia Quest|Campaign Games|Crowdfunding: Kickstarter,Adventure|Fantasy|Fighting|Miniatures,5213,7.9962
70,127023,kemet,Action Point Allowance System|Area Control / Area Influence|Area Movement|Card Drafting|Hand Management,Country: Egypt|Desert Theme|Monsters,Ancient|Fighting|Miniatures|Mythology,9519,7.77653
71,103343,game-thrones-board-game-second-edition,Area Control / Area Influence|Area Movement|Auction/Bidding|Hand Management|Player Elimination|Simultaneous Action Selection|Variable Player Powers,A Game of Thrones: The Board Game|A Song of Ice and Fire,Bluffing|Fantasy|Negotiation|Novel-based|Political|Wargame,18168,7.73291
72,34635,stone-age,Dice Rolling|Set Collection|Worker Placement,Stone Age,Dice|Prehistoric,31020,7.63167
73,161970,alchemists,Action Point Allowance System|Card Drafting|Hand Management|Worker Placement,"",Deduction|Fantasy,10172,7.7663
74,125153,gallerist,Commodity Speculation|Set Collection|Worker Placement,Crowdfunding: Giochistarter|Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede|Solitaire Games|Visual Arts: Painting,Economic,3826,8.05048
75,146652,legendary-encounters-alien-deck-building-game,Card Drafting|Co-operative Play|Deck / Pool Building|Partnerships|Player Elimination|Variable Player Powers,Aliens|Legendary|Solitaire Games,Card Game|Fighting|Horror|Movies / TV / Radio theme|Science Fiction,6658,7.86118
76,70149,ora-et-labora,Modular Board|Pattern Building|Set Collection|Tile Placement|Worker Placement,Beer|Country: France|Country: Ireland|Harvest Series|Solitaire Games|Tableau Building|Wine Games,City Building|Economic|Industry / Manufacturing|Medieval|Religious|Territory Building,7604,7.78068
77,126042,nations,Card Drafting|Variable Player Powers,Nations|Solitaire Games|Tableau Building,Card Game|Civilization|Economic,8306,7.75045
78,123260,suburbia,Card Drafting|Set Collection|Tile Placement,Mensa Select|Solitaire Games|Suburbia,City Building|Economic,15133,7.64054
79,147020,star-realms,Card Drafting|Deck / Pool Building|Player Elimination|Take That,Crowdfunding: Kickstarter|Star Realms,Card Game|Fighting|Science Fiction,19321,7.64371
80,201808,clank-deck-building-adventure,Deck / Pool Building|Player Elimination|Point to Point Movement|Press Your Luck,Animals: Dragons,Adventure|Fantasy,4287,8.03986
81,14105,commands-colors-ancients,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Hex-and-Counter|Modular Board,Ancient Rome|Commands & Colors|Commands & Colors: Ancients Series|Country: Greece,Ancient|Wargame,6859,7.79658
82,175155,forbidden-stars,Area Control / Area Influence|Dice Rolling|Hand Management|Modular Board|Variable Player Powers,"Components: Miniatures|Fantasy Flight Big Box|Warhammer 40,000 Board Games",Bluffing|Dice|Fighting|Miniatures|Science Fiction|Wargame,3945,8.05726
83,17133,railways-world,Action Point Allowance System|Auction/Bidding|Card Drafting|Pick-up and Deliver|Route/Network Building|Tile Placement,Age of Steam|Country: USA|Railways of the World series,Trains|Transportation|Video Game Theme,9485,7.70594
84,91,paths-glory,Campaign / Battle Card Driven|Dice Rolling|Point to Point Movement,"",Wargame|World War I,3631,8.02015
85,14996,ticket-ride-europe,Card Drafting|Hand Management|Route/Network Building|Set Collection,Ticket to Ride,Trains|Travel,36331,7.59061
86,43111,chaos-old-world,Action Point Allowance System|Area Control / Area Influence|Area Movement|Dice Rolling|Hand Management|Role Playing|Take That|Variable Player Powers,Warhammer Fantasy Board Games,Fantasy|Fighting|Horror|Mythology|Wargame,11357,7.68314
87,21050,combat-commander-europe,Campaign / Battle Card Driven|Hex-and-Counter|Simulation|Variable Phase Order,Combat Commander Series,Wargame|World War II,4396,7.91962
88,148949,istanbul,Dice Rolling|Grid Movement|Modular Board|Pick-up and Deliver,Cities: Istanbul|Istanbul,Economic,12796,7.63165
89,39463,cosmic-encounter,Hand Management|Partnerships|Take That|Variable Player Powers,Cosmic Encounter,Bluffing|Negotiation|Science Fiction|Space Exploration,19305,7.60868
90,27833,steam,Auction/Bidding|Pick-up and Deliver|Route/Network Building|Tile Placement,Age of Steam|Steam,Economic|Trains|Transportation,8068,7.67773
91,9216,goa,Auction/Bidding|Hand Management|Press Your Luck,Colonial Theme|Country: India|Country: Portugal,Economic|Farming|Nautical|Renaissance,9682,7.64142
92,128621,viticulture,Hand Management|Worker Placement,Crowdfunding: Kickstarter|Viticulture|Wine Games,Economic|Farming,6225,7.76465
93,146886,la-granja,Area Control / Area Influence|Dice Rolling|Hand Management|Simultaneous Action Selection|Variable Player Powers|Worker Placement,Admin: Better Description Needed!|Country: Spain|Islands: Mallorca|Solitaire Games|Tableau Building,Economic|Farming,4958,7.80381
94,77423,lord-rings-card-game,Co-operative Play|Hand Management|Variable Player Powers,CCGs (Collectible Card Games)|Living Card Game|Lord of the Rings: The Card Game (LCG)|Solitaire Games|Tolkien Games,Card Game|Collectible Components|Fantasy|Novel-based,15063,7.64013
95,4098,age-steam,Auction/Bidding|Dice Rolling|Player Elimination|Route/Network Building|Tile Placement,Age of Steam,Economic|Trains|Transportation,6771,7.70318
96,555,princes-florence,Auction/Bidding|Tile Placement,Alea Big Box|Cities: Florence|Country: Italy|Polyominoes,City Building|Renaissance,13183,7.59093
97,148228,splendor,Card Drafting|Set Collection,Splendor,Card Game|Economic|Renaissance,30619,7.5334
98,43015,hansa-teutonica,Action Point Allowance System|Area Control / Area Influence|Point to Point Movement|Route/Network Building,Country: Germany,Renaissance,8544,7.63994
99,54043,jaipur,Card Drafting|Hand Management|Set Collection,Animals: Camels|Asian Theme|Country: India,Animals|Card Game,19069,7.54797
100,104006,village,Set Collection|Worker Placement,Village,Farming|Medieval,14007,7.56664
101,176189,zombicide-black-plague,Co-operative Play|Dice Rolling|Modular Board|Variable Player Powers,Crowdfunding: Kickstarter|Zombicide,Adventure|Fantasy|Fighting|Horror|Medieval|Miniatures|Zombies,5061,7.94479
102,31627,ticket-ride-nordic-countries,Card Drafting|Hand Management|Route/Network Building|Set Collection,Country: Denmark|Country: Finland|Country: Norway|Country: Sweden|Ticket to Ride,Trains|Transportation|Travel,8126,7.66686
103,101721,mage-wars-arena,Dice Rolling|Grid Movement|Simultaneous Action Selection|Variable Player Powers,Mage Wars,Card Game|Fantasy|Fighting,6076,7.81048
104,215,tichu,Betting/Wagering|Hand Management|Partnerships|Trick-taking,Asian Theme|Climbing Games|Country: China|Shedding Games|Traditional Card Games|Z-Man / Filosofia deluxe card game series,Card Game,10666,7.6082
105,188,go,Area Enclosure,3M Bookshelf Series|Combinatorial|Ravensburger Traveller Series,Abstract Strategy,11635,7.66968
106,154203,imperial-settlers,Card Drafting|Hand Management|Take That|Variable Player Powers,Ancient Rome|Country: Egypt|Country: Japan|Solitaire Games|Tableau Building,Ancient|Card Game|City Building|Civilization,12680,7.58337
107,10630,memoir-44,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Grid Movement|Hand Management|Modular Board|Simulation,Commands & Colors|Memoir '44,Miniatures|Wargame|World War II,19600,7.53233
108,9209,ticket-ride,Hand Management|Route/Network Building|Set Collection,Country: USA|Ticket to Ride,Trains|Travel,49112,7.48214
109,129437,legendary-marvel-deck-building-game,Co-operative Play|Deck / Pool Building,Comics: Marvel Universe|Legendary|Solitaire Games|Superheroes,Card Game|Comic Book / Strip,12854,7.63055
110,234,hannibal-rome-vs-carthage,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Point to Point Movement|Simulation,Ancient Rome|Continent: Africa|Valley Games Tactics Line,Ancient|Political|Wargame,4330,7.82909
111,171131,captain-sonar,Grid Movement|Line Drawing|Partnerships|Role Playing|Secret Unit Deployment|Simultaneous Action Selection,"",Deduction|Fighting|Nautical|Real-time|Wargame,4580,7.82611
112,20551,shogun,Action / Movement Programming|Area Control / Area Influence|Area Movement|Auction/Bidding|Simultaneous Action Selection|Variable Phase Order,Asian Theme|Country: Japan|Samurai,Economic|Medieval|Territory Building,10566,7.57871
113,140620,lewis-clark,Card Drafting|Deck / Pool Building|Hand Management|Point to Point Movement|Worker Placement,Solitaire Games|Tableau Building,American West|Racing,8852,7.58946
114,93260,summoner-wars-master-set,Dice Rolling|Grid Movement|Hand Management|Variable Player Powers,Summoner Wars,Card Game|Fantasy|Fighting,8764,7.61822
115,31481,galaxy-trucker,Dice Rolling|Tile Placement,"",Humor|Real-time|Science Fiction|Space Exploration|Transportation,21011,7.47534
116,146439,battlelore-second-edition,Campaign / Battle Card Driven|Dice Rolling|Grid Movement|Modular Board|Variable Player Powers,BattleLore|BattleLore (Second Edition)|Commands & Colors|Monsters|The Realms of Terrinoth,Dice|Fantasy|Miniatures|Wargame,3610,7.93469
117,97207,dungeon-petz,Auction/Bidding|Hand Management|Worker Placement,Dungeon Lords|Monsters,Animals|Fantasy|Humor,8793,7.58449
118,22545,age-empires-iii-age-discovery,Area Control / Area Influence|Set Collection|Worker Placement,Age of Discovery|Colonial Theme|Country: Costa Rica|Glenn Drover's Empires Series,Civilization|Exploration|Renaissance|Video Game Theme,8925,7.58449
119,24181,imperial,Area Control / Area Influence|Area Movement|Stock Holding,Rondel Series,Economic|Fighting|Nautical|Political,7231,7.63243
